0	2019-11-02 01:15:35.409068	11818215
0	2019-11-02 01:31:32.165012	11820725
1	2019-11-02 01:31:37.518512	11820725
2	2019-11-02 01:31:42.807347	11820730
3	2019-11-02 01:31:48.078485	11820730
4	2019-11-02 01:31:53.337257	11820730
5	2019-11-02 01:31:58.627293	11820745
6	2019-11-02 01:32:03.927495	11820745
7	2019-11-02 01:32:09.237022	11820766
8	2019-11-02 01:32:14.500188	11820766
9	2019-11-02 01:32:19.784791	11820775
0	2019-11-02 01:32:38.362594	11820786
1	2019-11-02 01:32:43.612593	11820786
2	2019-11-02 01:32:48.907800	11820786
0	2019-11-02 01:33:52.782976	11821056
1	2019-11-02 01:33:58.061622	11821056
2	2019-11-02 01:34:03.307014	11821056
3	2019-11-02 01:34:08.591787	11821056
4	2019-11-02 01:34:13.857721	11821056
5	2019-11-02 01:34:19.316496	11821112
0	2019-11-02 01:34:36.998170	11821125
1	2019-11-02 01:34:42.276966	11821125
0	2019-11-02 01:35:56.460464	11821346
1	2019-11-02 01:36:01.746160	11821368
0	2019-11-02 01:41:31.395889	11822363
0	2019-11-02 01:42:00.756421	11822374
1	2019-11-02 01:42:06.026020	11822384
0	2019-11-02 01:58:07.076907	11824463
1	2019-11-02 01:58:12.316037	11824463
2	2019-11-02 01:58:17.558324	11824463
